predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
69.25335  66.5767   81.26412  54.89582  25.207304 67.25254  45.767284 71.41721  74.81094  63.28271  84.81231  55.16633 ,1798.1743,42.40488553,0.374915,raw,1,0.054767953,0
65.909805 67.60581  80.55572  57.253056 28.195253 65.04278  45.820057 69.529625 69.25959  63.902615 84.18609  57.52035 ,1973.9943,44.42965522,0.39433756,raw,1,0.084107946,0
66.27362  70.375824 79.2893   57.813698 29.229322 64.79686  41.580452 70.945274 65.3938   67.40277  85.63957  57.246872,2121.5496,46.06028181,0.40497848,raw,1,0.09891105,0
61.481373 69.96678  77.497475 51.11099  31.567526 68.31352  37.73023 73.35784  66.236786 69.84517  89.54286  64.31939 ,2189.8132,46.7954403,0.4088203,raw,1,0.152816294,0
53.483482 68.19577  81.70438  45.046898 31.389341 63.44714  36.3868 76.31324  64.05211  72.749435 88.869774 68.907394,2329.5303,48.26520769,0.411551,raw,1,-0.067640467,0
50.69297  63.352356 61.046684 49.25612  32.238384 79.96122  37.016872 77.536064 56.685326 71.342995 86.43865  86.31887 ,2412.5535,49.11775104,0.399424,raw,1,-0.499935394,0
41.806377 54.552345 66.78987  54.763683 33.391468 92.70619  39.655518 85.31601  60.048496 67.06857  80.694046 64.54613 ,2305.4456,48.01505552,0.3868916,raw,1,-0.209367375,0
51.554703 53.844948 65.528244 53.472702 41.002354 81.82784  46.673725 78.203384 56.342533 43.9876   79.14771  46.000862,2241.3884,47.34330394,0.41870832,raw,1,0.053126045,0
53.90625  60.592484 78.90788  49.79641  57.58232  47.83349  59.610893 79.416756 52.65274  51.64619  79.3507   19.7169  ,2126.6104,46.11518569,0.41260278,raw,1,0.150269375,0
60.21098  46.68917  69.42471  60.388515 58.665764 20.239233 56.019775 62.749245 64.667625 69.20067  70.892845 32.765152,2189.1763,46.78863398,0.38987783,raw,1,-0.156800255,0
61.478977 52.63485  55.05683  85.54245  57.976486 54.76266  68.10519 57.33063  60.08935  83.56669  63.54963  63.08097 ,1330.0605,36.46999516,0.306883,raw,1,-0.155617626,0
58.13932  33.64903  63.01961  72.97971  41.70312  72.8115   58.096504 65.78585  69.999435 64.46935  51.36364  61.71506 ,1478.7007,38.45387735,0.31164962,raw,1,-0.314675694,0
65.125595 53.059032 83.22864  51.548744 32.909794 60.530743 61.223682 83.28024  72.51219  31.178047 64.148285 56.991875,1199.6566,34.63605948,0.32343194,raw,1,0.131886351,0
84.125885 67.87366  69.15518  53.69269  39.868557 41.914215 49.83336 77.97945  72.805725 34.145573 72.863655 51.519634,892.30634,29.87149704,0.30922043,raw,1,0.502936627,0
71.23894  61.87253  72.2561   90.61822  53.203663 49.039658 59.31721 60.320595 82.79305  70.853294 59.704746 47.83891 ,689.5928,26.2600985,0.2616745,raw,1,-0.102126524,0
77.69364  52.568935 72.45889  99.694984 31.313347 51.155262 77.02764 50.03625  63.356293 84.0369   48.602688 48.82389 ,954.0611,30.88787944,0.29889104,raw,1,-0.126211161,0
80.50608  53.392254 53.221676 74.53412  24.0085   78.74251  81.97416 55.621284 49.156815 72.765816 50.240025 56.794712,1056.8352,32.50900191,0.2880139,raw,1,-0.080258521,0
72.263985 49.489338 72.519394 43.821056 40.86577  86.25101  58.68901 62.664566 64.246506 67.623276 75.84307  51.336056,943.90204,30.72298876,0.29625434,raw,1,0.171361811,0
 65.41236   62.22178  101.1316    52.289494  65.34241   80.28163  69.4618    30.975292  86.6297    53.67913   75.81261   34.0648  ,1402.1626,37.44546164,0.315778,raw,1,-0.312504437,0
67.86535  37.141716 98.474045 77.63983  52.97358  68.56656  62.888336 34.19572  73.86682  72.14887  68.59622  40.662933,1605.32,40.06644414,0.35514283,raw,1,-0.25858879,0
80.894135 52.88253  90.85214  92.92833  37.87374  65.813385 58.790688 44.907    51.235073 94.643    88.617905 34.2527  ,1811.6455,42.56342923,0.34462094,raw,1,-0.273503394,0
97.45788  48.54967  63.858395 75.06209  30.212685 72.06209  67.95597 48.367085 66.46075  96.26425  74.15984  45.493443,1903.8505,43.63313493,0.38165712,raw,1,-0.124021882,0
89.15485  61.41325  64.238525 30.825016 24.67684  78.5773   67.56233 61.40205  73.776276 50.55473  83.90543  66.21999 ,2359.1455,48.57103569,0.41214314,raw,1,-0.045630845,0
44.169876 53.053066 72.455574 44.877357 30.35836  74.546906 31.961527 79.28291  65.63118  63.918297 87.28138  79.97911 ,2619.7869,51.18385356,0.44896254,raw,1,0.550445044,0
49.582108 63.999516 95.63625  52.6531   28.523048 68.11844  35.492065 52.173557 68.3543   63.330322 80.40977  55.55585 ,3222.075,56.763324,0.47065902,raw,1,0.16326152,0
67.690865 60.028694 79.07228  63.714077 34.79901  97.311676 47.704964 52.98745  66.96134  78.79995  62.224533 58.912407,3000.8005,54.77956313,0.44119644,raw,1,-0.012413092,0
93.45356  82.990746 57.76182  47.15545  37.446877 86.958496 74.64147 68.10809  74.25897  67.28709  61.031906 36.398304,3011.4177,54.87638586,0.43513337,raw,1,0.016691736,0
76.17877  69.554924 66.9509   50.52225  46.102516 67.87403  57.180836 76.495285 62.58047  67.41282  55.640224 59.605446,3099.9412,55.67711525,0.46018794,raw,1,0.015180857,0
33.70636  63.102123 75.3965   33.46364  66.410904 78.68267  48.07907 57.36817  52.188663 81.942215 63.967464 65.642265,3607.505,60.06250813,0.48654148,raw,1,-0.039516825,0
 42.463253  45.594807  54.378548  49.4823    48.960793 101.98048  42.680202  55.67222   54.910103  87.48711   74.27829   68.12083 ,3590,59.91660872,0.47487605,raw,1,-0.099229864,0
69.92845  59.40661  82.27112  62.621185 50.247864 96.44166  50.74245 60.086807 68.815544 54.14635  80.50684  35.59516 ,2841.042,53.3014258,0.43753162,raw,1,0.281730096,0
 77.403114  60.76857   76.08084   73.025314  64.21844  100.051674  49.713417  84.232376  62.412346  51.959682  70.95813   48.38474 ,2166.7678,46.54855339,0.39003745,raw,1,0.494708618,0
77.34698  74.21694  65.40266  74.490326 77.68441  94.052635 58.001606 91.25873  45.396404 60.94251  87.68797  32.40377 ,1937.3315,44.01512857,0.3615929,raw,1,0.395571179,0
66.13602  47.9008   58.21187  95.47615  74.52627  72.23131  51.220776 69.997375 56.2619   70.298584 83.08211  22.46743 ,2328.0974,48.25036178,0.38931727,raw,1,0.19273301,0
61.759834 54.678368 72.45176  93.762634 78.85732  72.87699  61.758198 64.474    54.579304 65.10187  75.7397   30.018667,1815.4658,42.60828347,0.35689637,raw,1,0.282669084,0
63.767826 53.51469  64.14134  87.30945  74.62611  72.31918  55.87248 67.2756   58.14588  53.897415 60.408657 40.462627,1706.7676,41.31304368,0.36536863,raw,1,0.250649772,0
64.48095  65.245316 69.54552  82.56501  79.32078  67.465576 60.255676 69.82044  73.84683  43.388813 65.71143  43.67515 ,1295.1442,35.98811144,0.3204637,raw,1,0.159733027,0
64.74162  65.79767  86.043365 89.42376  86.47922  62.704796 66.49187 60.510605 85.39735  42.45691  51.02925  37.420887,1356.2552,36.82737092,0.29671106,raw,1,-0.194247801,0
65.62901  56.797485 72.637054 90.32439  78.0398   64.2045   72.43129 65.79098  78.99642  57.921272 47.6466   39.476963,1623.9689,40.29849714,0.30387166,raw,1,-0.789427725,0
70.946846 59.9324   70.06039  85.609055 65.47684  52.614357 70.728935 70.1052   64.71819  70.551926 58.55626  28.698112,1942.2748,44.07124664,0.32940742,raw,1,-0.610189778,0
68.5887   60.033627 71.96342  76.00849  72.103645 53.193703 75.23907 48.583004 74.10373  74.24019  48.87112  24.77535 ,2384.5706,48.83206484,0.355145,raw,1,-0.502247744,0
63.04552  51.106495 81.512085 64.44395  80.113205 63.070072 73.60526 49.983143 72.58596  76.58343  52.35547  36.07948 ,2439.0642,49.38688296,0.3602548,raw,1,-0.336037605,0
