id,predict_data,mse,rmse,smooth,skip,result_corr
93,60.073757 53.00556  54.183765 62.847824 49.19798  52.187923 60.169178 52.28995  54.384876 58.688076 47.001625 59.54357 ,3791.4016,61.57435839,raw,1,-0.1633050295578931
94,60.407753 48.511845 53.003094 62.52137  47.96796  57.282455 63.80238 56.837242 56.48569  48.74912  48.2006   58.329147,3928.4417,62.67728177,raw,1,-0.15838492176395125
95,61.028202 51.09727  48.83778  58.640583 49.901196 55.974827 62.588936 55.951344 51.68755  49.467285 51.53458  59.1616  ,4023.2473,63.4290731,raw,1,-0.07317054267126248
96,60.339622 50.63432  45.52777  57.09466  52.18563  53.486046 60.83985 52.333187 49.873177 53.69919  53.458134 55.577175,4141.838,64.3571122,raw,1,-0.02596987623730615
97,58.90964  53.27304  51.194702 60.752907 50.276295 51.811214 59.183037 50.101143 54.32791  57.809998 49.456264 60.155907,3946.078,62.817815,raw,1,-0.318601830024365
98,58.901302 51.74475  52.95153  63.782284 51.129646 53.065807 61.24053 51.112537 58.709755 56.79368  46.81379  62.667286,3657.1824,60.4746424,raw,1,-0.006536353021656505
99,58.229855 54.108166 55.55508  61.165108 52.08764  53.4168   60.33662 57.707848 53.999855 51.363277 46.087452 61.286705,3457.3691,58.79939745,raw,1,0.20493915130325824
100,57.194115 51.354607 52.83729  59.243904 51.239334 54.02012  59.756985 59.13626  52.50775  50.168217 47.195007 59.36358 ,3310.2854,57.53507974,raw,1,0.18611679341113435
101,53.06029  51.859764 51.23277  59.60435  49.672638 52.405384 59.780468 57.74614  53.56053  55.6379   46.175186 62.54789 ,3074.549,55.4486165,raw,1,-0.12824368376751602
102,53.54327  51.02351  50.9589   61.26755  49.74613  50.422016 60.850376 56.13267  54.3678   56.515373 45.889977 64.060356,2763.294,52.56704239,raw,1,-0.2799932491150775
103,52.526466 50.97174  51.41559  61.878815 48.42733  51.10789  60.621994 57.05663  56.07371  55.71882  43.463997 64.790764,2418.7927,49.18122329,raw,1,-0.22148533507293486
104,53.17972  49.82897  54.637615 61.97192  48.381588 52.5261   61.546604 59.076004 58.91419  52.64698  42.476032 64.664566,2047.1403,45.24533411,raw,1,-0.09126635768335603
105,52.461582 48.62382  55.221127 60.21462  48.51231  51.896267 60.659077 61.33717  59.813896 51.75448  42.69643  64.281075,1893.8834,43.51877093,raw,1,-0.10510843966847358
106,52.977383 46.360214 52.59038  59.679802 49.16389  51.30563  62.90004 58.81118  61.277813 53.272644 43.7301   61.975903,2074.036,45.54158417,raw,1,-0.18861986015481508
107,51.67222  47.01518  51.725025 59.163906 48.711723 50.16404  63.45691 57.448483 60.3621   55.42236  44.343082 62.082603,2328.8958,48.25863396,raw,1,-0.037640456390417465
108,51.167313 46.799    51.462986 59.761875 49.22568  49.45582  62.959618 57.05292  59.058693 56.922344 44.390194 62.152905,2582.679,50.82006449,raw,1,0.12896236956489737
109,52.309486 47.2119   52.24254  60.784184 49.626728 48.45408  60.62859 57.91282  55.78691  57.078438 45.038914 61.39655 ,2941.341,54.23413191,raw,1,0.2096282094085391
110,54.141926 47.26892  51.24302  59.563343 50.26818  48.7655   60.155556 56.68684  57.978367 57.26724  46.17164  62.34681 ,3296.5332,57.41544394,raw,1,0.37184734610936976
111,55.85716  45.735703 49.16708  59.24417  50.785362 47.643517 61.402363 54.989502 58.751545 58.261044 45.079037 60.023205,3804.8916,61.6838034,raw,1,0.3470466911676478
112,56.249016 46.72693  54.18117  61.056007 49.89835  46.482594 59.378162 58.974815 54.986954 55.169743 45.745956 59.843132,4343.305,65.90375692,raw,1,0.10494408081038233
113,58.403793 46.87449  51.678986 56.920242 49.373734 49.804214 59.997467 56.38678  56.819237 54.768497 46.797913 57.888588,4862.2993,69.73018942,raw,1,0.10117355930491737
114,57.906982 47.94456  50.21571  58.711678 49.48888  48.545654 60.201942 57.53773  54.318367 55.96535  48.36158  58.741657,5232.354,72.3350123,raw,1,0.07305690202668233
115,61.04792  50.98229  50.0966   58.481895 51.20059  48.26611  59.203217 55.080566 52.253597 56.262905 48.5222   60.11406 ,5464.3335,73.92113024,raw,1,-0.32710286224671253
116,62.506756 51.18142  49.61055  60.281357 50.24372  50.87952  58.38629 54.22738  53.500862 55.577194 47.542736 58.60829 ,5542.5933,74.44859476,raw,1,-0.29668844108285786
